parameter,run_id,parameter_value,seeds,mean_final_energy,final_energy_std,mean_survival
lr,H00,0.001,3,8.237270119750997,1.6033640467882713,0.4506666666666666
lr,H_LR_HIGH,0.003,3,8.652568241265511,1.038852253984422,0.4573333333333333
lr,H_LR_LOW,0.0003,3,9.407948752822996,0.6013776751038437,0.4673333333333333
batch_size,H00,128.0,3,8.237270119750997,1.6033640467882713,0.4506666666666666
batch_size,H_BATCH_HIGH,256.0,3,8.967672695906447,0.236289392458213,0.4673333333333333
batch_size,H_BATCH_LOW,64.0,3,8.397569725661164,1.7344350902485584,0.45
target_update,H00,50.0,3,8.237270119750997,1.6033640467882713,0.4506666666666666
target_update,H_TARGET_HIGH,100.0,3,8.457054513088476,0.8993749353736457,0.4526666666666667
target_update,H_TARGET_LOW,25.0,3,9.43520773732225,0.06676185277186422,0.4713333333333333
epsilon_decay,H00,30000.0,3,8.237270119750997,1.6033640467882713,0.4506666666666666
epsilon_decay,H_EPSILON_HIGH,40000.0,3,7.001069859589951,0.5451023986047399,0.42133333333333334
epsilon_decay,H_EPSILON_LOW,20000.0,3,4.491931925270662,7.965258245843645,0.4526666666666666
