run_id,lr,batch_size,target_update,epsilon_decay,warmup_steps,hidden_dim,varying_parameter,value,seeds,eval_mean_final_energy,between_seed_final_energy_std,eval_survival_rate,between_seed_survival_std
H_TARGET_LOW,0.001,128,25,30000,1000,64,target_update,25.0,3,9.43520773732225,0.06676185277186422,0.4713333333333333,0.003055050463303866
H_LR_LOW,0.0003,128,50,30000,1000,64,lr,0.0003,3,9.407948752822996,0.6013776751038437,0.4673333333333333,0.006429100507328626
H_BATCH_HIGH,0.001,256,50,30000,1000,64,batch_size,256.0,3,8.967672695906447,0.236289392458213,0.4673333333333333,0.006429100507328626
H_LR_HIGH,0.003,128,50,30000,1000,64,lr,0.003,3,8.652568241265511,1.038852253984422,0.4573333333333333,0.02715388247255506
H_TARGET_HIGH,0.001,128,100,30000,1000,64,target_update,100.0,3,8.457054513088476,0.8993749353736457,0.4526666666666667,0.0238607068908977
H_BATCH_LOW,0.001,64,50,30000,1000,64,batch_size,64.0,3,8.397569725661164,1.7344350902485584,0.45,0.03117691453623982
H00,0.001,128,50,30000,1000,64,baseline,0.0,3,8.237270119750997,1.6033640467882713,0.4506666666666666,0.031770006819850295
H_EPSILON_HIGH,0.001,128,50,40000,1000,64,epsilon_decay,40000.0,3,7.001069859589951,0.5451023986047399,0.42133333333333334,0.0064291005073286375
H_EPSILON_LOW,0.001,128,50,20000,1000,64,epsilon_decay,20000.0,3,4.491931925270662,7.965258245843645,0.4526666666666666,0.0317700068198503
