run_id,seed,train_mean_objective_return,train_survival_rate,train_mean_final_energy,eval_mean_objective_return,eval_survival_rate,eval_mean_final_energy,eval_final_energy_std,eval_mean_survivor_energy,eval_mean_failure_energy
H00,11,-1.0410745289623842,0.4176,-1.0410745289623842,6.396423157812397,0.414,6.396423157812397,31.64007997331229,41.962106766577,-18.73018608114417
H00,22,-1.4885232333608802,0.4202,-1.4885232333608802,9.328685160670874,0.468,9.328685160670874,32.08685741024065,41.612071040727194,-19.070985124792205
H00,33,-1.495034596670608,0.4214,-1.495034596670608,8.986702040769721,0.47,8.986702040769721,30.924186265015724,40.28770207448692,-18.770788555168185
H_BATCH_HIGH,11,-1.0497672519571344,0.4208,-1.0497672519571344,8.722444023012752,0.46,8.722444023012752,32.10800943682972,41.53681392162637,-19.230537742472915
H_BATCH_HIGH,22,-0.7770958580288129,0.427,-0.7770958580288129,9.19387202393687,0.472,9.19387202393687,30.954272072522155,40.4221161732232,-18.722285624667574
H_BATCH_HIGH,33,-1.3124304286709059,0.4144,-1.3124304286709059,8.986702040769721,0.47,8.986702040769721,30.924186265015724,40.28770207448692,-18.770788555168185
H_BATCH_LOW,11,-0.6618208276422872,0.4294,-0.6618208276422872,6.396423157812397,0.414,6.396423157812397,31.64007997331229,41.962106766577,-18.73018608114417
H_BATCH_LOW,22,-1.585378437653521,0.4232,-1.585378437653521,9.328685160670874,0.468,9.328685160670874,32.08685741024065,41.612071040727194,-19.070985124792205
H_BATCH_LOW,33,-1.5546631074815083,0.415,-1.5546631074815083,9.46760085850022,0.468,9.46760085850022,32.13583741039669,41.83618257909012,-19.00701614382323
H_EPSILON_HIGH,11,-3.5949928771208115,0.4112,-3.5949928771208115,6.396423157812397,0.414,6.396423157812397,31.64007997331229,41.962106766577,-18.73018608114417
H_EPSILON_HIGH,22,-3.221009685122756,0.4096,-3.221009685122756,7.151938928641649,0.424,7.151938928641649,31.674944695499963,42.051518628168274,-18.538029461287667
H_EPSILON_HIGH,33,-2.9468799327240935,0.402,-2.9468799327240935,7.454847492315807,0.426,7.454847492315807,31.753719434189605,42.3275006912025,-18.426250526370136
H_EPSILON_LOW,11,1.020143563378607,0.4382,1.020143563378607,-4.704778288894606,0.416,-4.704778288894606,32.61627320189787,30.71193430655273,-29.933121507569417
H_EPSILON_LOW,22,0.874336728396856,0.4224,0.874336728396856,9.19387202393687,0.472,9.19387202393687,30.954272072522155,40.4221161732232,-18.722285624667574
H_EPSILON_LOW,33,1.3159326746033888,0.4192,1.3159326746033888,8.986702040769721,0.47,8.986702040769721,30.924186265015724,40.28770207448692,-18.770788555168185
H_LR_HIGH,11,-1.3847921015505802,0.4056,-1.3847921015505802,9.308985207543857,0.474,9.308985207543857,31.073978004444676,40.53745137708059,-18.832256169567195
H_LR_HIGH,22,-1.4555091721373214,0.4106,-1.4555091721373214,9.19387202393687,0.472,9.19387202393687,30.954272072522155,40.4221161732232,-18.722285624667574
H_LR_HIGH,33,-1.5529186866456577,0.4054,-1.5529186866456577,7.454847492315807,0.426,7.454847492315807,31.753719434189605,42.3275006912025,-18.426250526370136
H_LR_LOW,11,-1.3039057092776605,0.4144,-1.3039057092776605,8.722444023012752,0.46,8.722444023012752,32.10800943682972,41.53681392162637,-19.230537742472915
H_LR_LOW,22,-2.2032655748426295,0.4032,-2.2032655748426295,9.84670922764151,0.472,9.84670922764151,31.238741493342484,41.103945270132684,-18.09536541640363
H_LR_LOW,33,-2.0050234294338223,0.4178,-2.0050234294338223,9.654693007814725,0.47,9.654693007814725,31.275220983075716,41.040943309208856,-18.178396882100827
H_TARGET_HIGH,11,-1.1516385238995746,0.4268,-1.1516385238995746,8.722444023012752,0.46,8.722444023012752,32.10800943682972,41.53681392162637,-19.230537742472915
H_TARGET_HIGH,22,-1.6940322713748766,0.4062,-1.6940322713748766,9.19387202393687,0.472,9.19387202393687,30.954272072522155,40.4221161732232,-18.722285624667574
H_TARGET_HIGH,33,-1.6554149485488345,0.4252,-1.6554149485488345,7.454847492315807,0.426,7.454847492315807,31.753719434189605,42.3275006912025,-18.426250526370136
H_TARGET_LOW,11,-1.7473370800382673,0.41,-1.7473370800382673,9.479593016097832,0.474,9.479593016097832,31.10584323274664,40.71036405573509,-18.6637253732331
H_TARGET_LOW,22,-1.9535326563541908,0.4004,-1.9535326563541908,9.358429337368701,0.472,9.358429337368701,30.955042356061252,40.577409633978355,-18.549446988388414
H_TARGET_LOW,33,-1.5734277937803476,0.4064,-1.5734277937803476,9.46760085850022,0.468,9.46760085850022,32.13583741039669,41.83618257909012,-19.00701614382323
